movie,rt_critic,rt_audience
Forever My Girl,24,79
Unlawful Entry,74,48
Prom,36,39
The Oogieloves in the Big Balloon Adventure,30,63
The Last Black Man in San Francisco,92,84
Girl Most Likely,23,33
The Dark Is Rising,14,33
Horse Girl,70,48
Wolfwalkers,99,100
Fathers' Day,25,25
The Guru,57,40
Blue Jay,91,77
Night Moves,86,42
Berberian Sound Studio,85,54
Luther,45,74
The Russia House,72,50
Extraterrestrial,29,26
Grand Canyon,77,70
The Kid Who Would Be King,89,55
Seungriho,72,80
The Night Listener,40,35
Half Past Dead,3,37
Orlando,85,82
Grandma,91,67
Kin,34,54
Head in the Clouds,16,61
200 Cigarettes,30,59
Sukiyaki Western Django,56,57
Dylan Dog: Dead of Night,,
Momentum,26,28
Eye of the Beholder,9,32
The Rider,97,83
Columbus,97,79
Soapdish,70,63
A United Kingdom,84,76
Paparazzi,18,38
Vehicle 19,23,31
Made in Dagenham,80,75
Monos,92,85
Two Brothers,78,75
The Banger Sisters,48,42
Who's Your Caddy?,6,59
Dheepan,87,82
The Dead Girl,76,65
Beyond the Sea,42,64
Struck by Lightning,32,52
Very Good Girls,19,33
I Can Only Imagine,63,92
Gossip,29,47
Blood: The Last Vampire,,
From Prada to Nada,20,41
Inside I'm Dancing,49,88
Marmaduke,9,42
Mr. Magoo,7,24
Prêt-à-Porter,24,27
Home Sweet Hell,5,26
Down to You,3,49
Breaking In,27,31
The Man Who Cried,35,58
Benny's Video,64,75
How to Be a Latin Lover,39,61
Barbershop: A Fresh Cut,90,66
The Vatican Tapes,20,59
Lore,94,76
Newness,71,61
10 Items or Less,63,65
